"type"
"Gloves"
"Agent"
"Sticker"
"Graffiti"
"Shotgun"
"Patch"
"Gift"
"Tag"
"Key"
"Knife"
"Tool"
"Pass"
"Rifle"
"Pistol"
"SMG"
"Music Kit"
"Machinegun"
"Collectible"
"Sniper Rifle"
"Container"
